No,Kalimat,Deskripsi Topik,Detail Topik,Sentimen,Skor Sentimen
2495,semoga kedepannya semakin banyak orang orang yg memakai aplikasi ini,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Netral,0.97
2496,aplikasi signal memberi kemudahan dalam pembayaran pajak kendaraan tidak perlu antri mudah aksesnya dan cepat prosesnya serta pengirimannya juga cepat Terimakasih,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.992
2497,fast moving anti ribet terimakasih polri,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.999
2498,sangat membantu dan bermanfaat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.992
2499,pelayanannya mudah dan cepat jika kita lupa dan waktunya mepet serta nggak bisa datang ke loket pembayaran di tempat lebih baik gunakan aplikasi SIGNAL,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.996
2500,Saran Kalau bisa pembayarannya bisa mengunakan mobile Banking,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.978
2501,memudahkan perpanjangan STNK,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.929
2502,mantaaappp dan mudah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.946
2503,bagus gampang dan cepat sampai,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
2504,gak perlu ribet lagi dengan signal hari sampai ke rumah STNK nya,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.983
2505,stnknya kapan dikirim,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.806
2506,transaksi simple dan lebih mudah,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Positif,0.993
2507,gak pakai antri lagi,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.927
2508,bravo,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Positif,0.877
2509,bisakah tambah motor lagi untuk akun,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.832
2510,sangat membantu sekali ga perlu dateng ke samsat tinggal proses dari rumah terus tunggu,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.994
2511,pertahankan amanah,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.998
2512,Apk seolah bug ketika akan verifikasi ktp klik lanjut tapi apk gak merespon,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.997
2513,Resinya berbeda dengan resi dari POS jadi kalau dilacak di website POS tidak bisa sedangkan kalau di aplikasi SIGNAL update sangat sangat lambat seharusnya RESInya satu aja dan bisa dilacak di websitenya pos indonesia,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.993
2514,aplikasi sampah daftar aja susah dah kaya mau pinjam uang di Pinjol pake foto KTP dan vermuk,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.999
2515,aplikasi ini sangat membantu sekali bayar pajak gak usah ke samsat n ngantri lagi,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.979
2516,cocok bgt buat aku yg gak bisa naik motor,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.898
2517,ketika membayar sulit sekali aplikasinya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.868
2518,Sangat membantu sekali pada saat sibuk bayar pajak via aplikasi Signal proses tidak ribet dan pengirimannya cepat,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.981
2519,aplikasi parah banget udah bayar stnk motor lewat aplikasi dan pilih stnk dikirim ke alamat rumah pake pos Indonesia tapi gak dikirim kirim dari April sampai sekarang Mei belum dikirim juga parah banget bulan gak ada kejelasan sama sekali,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.999
2520,lama banget udh mo minggu blom di kirim sttus masih on proses trus gmna ini,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.998
2521,mudah digunakan,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.84
2522,kerennn,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.898
2523,sat set mantap,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
2524,stnk saya sampai skarang belom sampai,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.949
2525,tolong cek lagi plat nomor R vn,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Netral,0.599
2526,cepat dan tepat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.956
2527,Memudahkan dan hemat biaya dibanding saya harus ke Samsat dan ngurus sendiri,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.993
2528,Prosesnya mudah jadi gak repot lagi,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.997
2529,gangguan koneksi Mulu padahal sinyalnya bagus,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.995
2530,lemot najis,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.935
2531,banyak drama,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.75
2532,lelet banget tolongg,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.992
2533,ntar kalo udah bisa baru aku ganti bintang nya,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.711
2534,Mau login aja loading terus mau tambah nomor kendaran gak bisa bisa,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.991
2535,katanya jaringan internet gak ada,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.659
2536,Padahal wifi udah yang kenceng pakai paket data tetep gak bisa juga,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.94
2537,kenapa loading terus pas mau masuk akun,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.993
2538,Gagal terus foto liveness nya keterangan terjadi kesalahan pada koneksi padahal gw pakai wifi yg lancar banget,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.997
2539,lemot,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.84
2540,jaringanya,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.468
2541,jaringan ladang terus,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.504
2542,cepet daftar sabtu selasa dikirim ke rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.951
2543,tinggal nunggu,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.799
2544,aman dan nyaman,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.982
2545,Sekarang jadi sering eror gk bisa masuk ke apk,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.983
2546,app sering error,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.976
2547,giliran dah bayar mau ngecek status pembayaran di Aplikasi malah erorr lah sinyal ilang lah DLL tolong di perbaiki lagi ya,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.998
2548,Link Aktivasi Email Tidak Bisa digunakan,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.622
2549,kouq baru instal dah eror ya apakah bapa lucu sehingga eror aplikasinya,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.996
2550,aplikasi ga guna setiap mau pembayaran ga bisa bisa tolong tingkatkan lagi,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.651
2551,bagus cuma lelet pengiriman,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.92
2552,aplikasinya kapan bisa normal dan bisa dipakai lagi,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.818
2553,Tgl mei,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.824
2554,kagak bisa dipakai apps ini,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.386
2555,loading doang,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.957
2556,aplikasi simple dan gampang prosesnya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.993
2557,selama proses kirim history tdk ada pajak motor saya tdk kunjung datang shg tdk bisa melacak agar bisa diimprove lagi,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.958
2558,aplikasi ok.gak ribet dan mudah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.942
2559,aplikasi burik yang buat nya abal daftar kendaraan aja gak bisa trus tidak user friendly,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.978
2560,buat kalian gak usah di download gak guna aplikasi nya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Netral,0.658
2561,Alhamdulillah memudahkan banget buat anak rantau jadi gak perlu balik kampung buat bayar pajak,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Positif,1.0
2562,prosesnya cepet pengantaran juga cepet,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.993
2563,stnk belum datang dianggap selesai,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.943
2564,kenapa aplikasi nya lama saat digunakaan,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.791
2565,jaringan sehat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Netral,0.69
2566,thx,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Positif,0.839
2567,g tau masalahnya dari develop atau adminnya,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.921
2568,aplikasinya loading terus,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.939
2569,error terus apk nya,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.956
2570,Ngga bisa bayar via BSI shopeepay,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.759
2571,padahal kode bayar sudah benar,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.436
2572,SANGAT TIDAK MEMBANTU regional gunungkidul,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.532
2573,aplikasi mantapp,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.972
2574,aplikasi ini sangat membantu dan mengoperasikan aplikasi mudah terima kasih telah mempermudah dalam pembayaran pajak kendaraan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.998
2575,Hampir bulan baru diterima STNK nya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.682
2576,mantep,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.979
2577,oke lh,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.92
2578,lumayan hari datang,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.891
2579,mudah simple,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.994
2580,pengiriman lama tunggu seminggu baru dikirim,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.918
2581,Sangat membantu bayar pajak lewat online hari nyampai,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.801
2582,mayan cepet,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.935
2583,Sudah dua kali bayar pajak pakai SIGNAL Pelayanan Prima cepat dalam prosen nya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.936
2584,Trim s,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.764
2585,bayar pajak kendaraan atas nama sendiri makin simpel oke dah pokoknya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.644
2586,sangat membantu dgn adanya apk signal ini,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.884
2587,sangat membantu dan mudah di gunakan,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.991
2588,mudah praktis,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.998
2589,pengiriman berkas sangat lama sekali,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.917
2590,solusi terbaik ga pakai ribet,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Netral,0.853
2591,Bermanfaat Sekali Untuk yang sibuk bekerja,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Positif,0.81
2592,Mantap Pelayanan nya dan sangat memudahkan dalam pembayaran pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.999
2593,meski suka eror tp transaksi sukses juga,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.9
2594,harap ditingkatkan kembali perbaikan aplikasi,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Netral,0.99
2595,bagus sekali sangat membantu ijin ndan semoga stnk digital dan sim digital dapat dipakai saat ada operasi progo bisa dijadikan bukti kepemilikan ketika di jalan,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.998
2596,mudah dan cepat mskpun tmpt tinggal beda provinsi bisa dkrim ke almt yg kt tinggali,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.993
2597,aplikasi error tidak bisa bayar dan juga tidak ada opsi kirim ke rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.974
2598,APLIKASI BELUM SEMPURNA UDAH DI LUNCURKAN,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.944
2599,DATA SUDA TERISI,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Netral,0.658
2600,PAS MAU PILIHAN PENGIRIMAN CUMA MUTER DOANG,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.989
2601,APK MACAM APA KEK GINI,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.96
2602,Sangat bermanfaat membantu sekali,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.985
2603,sangat buruk pelayanan nya,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Negatif,0.888
2604,Ga bisa utk kendaraan error terus,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.619
2605,Mempermudah Pembayaran Pajak Kendaraan Tolong di Teruskan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.952
2606,Terima kasih paket sdh di Terima dengan baik tpi mohon maaf kedepan untuk respon sama pengiriman bisa di perbaiki,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.829
2607,lebih praktis dan efisien ngga perlu antri semua di permudah dengan aplikasi signal,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,1.0
2608,lama sekali dateng nya akhir akhir ini,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.694
2609,Memudahkan bayar pajak untuk yg kerja karena ga harus datang ke samsat cuma prosesnya agak lama aja,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.661
2610,pengiriman cepat hari sampai meskipun beda kota,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.437
2611,app terburuk udah itu aja,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.992
2612,mantab bbbbbbbb bbbbbbbb,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.997
2613,mempermudah top lah pokok nya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.998
2614,sangat mempermudah sekali tp nunggu dr pos lumayan lama tp gak papa secara keseluruhan ok banget,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.766
2615,gak sesuai ekspetasi wkwk,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.63
2616,Cepat prosesnya dan lebih praktis gak perlu ngantri lama,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,1.0
2617,apk ini tdk berlaku untuk kendaraan tangan ke atau kendaraan bekas,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.84
2618,apk bodoh GK bisa msuk,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.978
2619,terbaik dan terpercaya,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.54
2620,stuck dipembayaran gak bisa muter muter terus,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.988
2621,Udah bagus cuma pilihan pengirimannya di tambah lg pake ojol atau yg lain biar bisa lebih cepat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Netral,0.53
2622,aplikasi gak guna buat daftar aja gak bisa aplikasi macam apa.n ini gak jelas banget,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.978
2623,Sudah cukup bagus namun sayang laporan di transaksi tertulis kadaluwarsa pdhl di pembayaran sdh sukses dan terkonfirmasi,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.982
2624,Laporandi transaksi jg cenderung lambat,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.966
2625,Pengaduan di aplikasi hya robot yg bekerja shg tdk memberi solusi,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.996
2626,Semoga menjadi perhatian utk terus diperbaiki dan dikembangkan,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.946
2627,Good service,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.956
2628,pernah kali salah kirim alamat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.595
2629,Verifikasinya penuh perjuangan,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.53
2630,saya update lagi ya ini pertama kali nyoba bayar pajak online,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.855
2631,Alhamdulillah sampe pembayaran di Indomaret lancar jaya proses sudah sampe pengiriman,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.997
2632,tinggal nunggu pengiriman jasa kirim,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Netral,0.944
2633,terimakasih buat semua pihak yg terkait ini sangat membantu buat kami yang ada di luar kota STNK sudah sampe di hari Sabtu saya transaksi hari Jum at gak nyangka bisa se gercep itu terimakasih banyak aplikasi SIGNAL tahun depan mau lewat aplikasi aja lagi,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Positif,0.819
2634,Kren memudahkan bayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.99
2635,loading ya lama,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.933
2636,mantap lebih praktis,Topik Tidak Relevan,Tidak Ditemukan,Positif,1.0
